46.246.98.5:8443#SE [186.23ms | 0.0Mbps]
80.78.30.157:443#SE [194.09ms | 0.0Mbps]
80.78.27.183:443#SE [201.03ms | 0.0Mbps]
138.124.86.149:8443#SE [208.36ms | 0.0Mbps]
176.97.77.161:443#SE [209.43ms | 0.0Mbps]
188.166.245.164:443#SG [241.28ms | 0.0Mbps]
165.245.178.114:443#SG [242.46ms | 0.0Mbps]
139.59.250.249:443#SG [244.88ms | 0.0Mbps]
188.166.217.179:443#SG [249.35ms | 0.0Mbps]
178.128.86.3:443#SG [249.74ms | 0.0Mbps]
188.166.247.45:443#SG [249.99ms | 0.0Mbps]
178.128.211.191:443#SG [250.76ms | 0.0Mbps]
165.232.165.200:443#SG [252.46ms | 0.0Mbps]
165.245.182.116:443#SG [253.87ms | 0.0Mbps]
146.190.100.44:443#SG [254.92ms | 0.0Mbps]
5.35.103.185:8443#SK [1289.26ms | 0.0Mbps]
91.242.163.179:8443#SK [1294.25ms | 0.0Mbps]
91.242.163.179:2053#SK [1328.5ms | 0.0Mbps]
157.254.192.20:443#TH [187.83ms | 0.0Mbps]
45.154.24.170:443#TH [1124.95ms | 0.0Mbps]
143.14.11.61:443#TH [1230.71ms | 0.0Mbps]
45.150.131.246:443#TH [1269.32ms | 0.0Mbps]
8.213.199.128:443#TH [1397.71ms | 0.0Mbps]
89.45.45.110:443#TR [222.62ms | 0.0Mbps]
93.115.10.237:8443#TR [224.35ms | 0.0Mbps]
94.131.108.136:443#TR [232.06ms | 0.0Mbps]
188.132.192.190:2053#TR [232.29ms | 0.0Mbps]
93.115.10.237:2053#TR [234.65ms | 0.0Mbps]
185.235.243.172:443#TR [240.37ms | 0.0Mbps]
188.132.192.194:8443#TR [243.81ms | 0.0Mbps]
103.83.86.172:443#TR [244.16ms | 0.0Mbps]
188.132.192.194:2053#TR [246.35ms | 0.0Mbps]
103.83.87.219:8443#TR [247.44ms | 0.0Mbps]
103.137.63.227:8443#TW [70.49ms | 0.0Mbps]
103.115.108.45:443#TW [251.33ms | 0.0Mbps]
151.242.189.137:443#TW [482.08ms | 0.0Mbps]
91.218.212.223:443#UA [227.58ms | 0.0Mbps]
91.238.105.102:443#UA [1248.75ms | 0.0Mbps]
154.17.23.239:443#US [129.75ms | 0.0Mbps]
147.182.229.237:443#US [130.17ms | 0.0Mbps]
146.235.202.197:443#US [131.1ms | 0.0Mbps]
146.190.114.88:443#US [131.57ms | 0.0Mbps]
154.21.89.103:8443#US [优选高速 131.76ms | 25.7Mbps]
178.128.67.112:2053#US [132.89ms | 0.0Mbps]
154.64.235.157:443#US [优选高速 133.58ms | 24.88Mbps]
154.26.189.70:443#US [优选高速 135.04ms | 24.62Mbps]
154.21.87.223:443#US [优选高速 135.77ms | 24.03Mbps]
154.17.26.88:443#US [优选高速 135.96ms | 24.71Mbps]
157.22.128.7:443#UZ [1344.11ms | 0.0Mbps]
123.58.199.241:443#VN [476.39ms | 0.0Mbps]
139.84.226.30:8443#ZA [430.07ms | 0.0Mbps]
139.84.231.16:8443#ZA [459.57ms | 0.0Mbps]
139.84.235.99:443#ZA [466.63ms | 0.0Mbps]
139.84.236.69:443#ZA [474.63ms | 0.0Mbps]
156.38.157.171:2053#ZA [547.63ms | 0.0Mbps]
156.38.157.171:8443#ZA [585.42ms | 0.0Mbps]
